year,n,pearson_r,p_value,pair
1996,251,0.6424384510773613,1.2993128291252867e-30,sp500
1997,252,0.17947569786455184,0.004260948595249552,sp500
1998,252,-0.24123578746614022,0.00010985052769116155,sp500
1999,252,0.21161644296454607,0.0007222880185857023,sp500
2000,252,-0.1452531952054715,0.02107682507584184,sp500
2001,247,-0.3082855722739744,7.756722596730948e-07,sp500
2002,252,-0.6384769996080886,2.9305986541272956e-30,sp500
2003,252,-0.35408825391048476,7.407165669255639e-09,sp500
2004,252,-0.04677652756415111,0.4597446460596961,sp500
2005,252,-0.056284378874650216,0.37360001224209616,sp500
2006,251,0.11966624541816716,0.05832927052171447,sp500
2007,251,-0.4821639169696054,5.107359214892939e-16,sp500
2008,252,-0.5405376987712547,1.6065956296882423e-20,sp500
2009,252,-0.301738273469643,1.0589361691833021e-06,sp500
2010,252,-0.5232265085248612,4.1111329236668184e-19,sp500
2011,252,-0.6999680028682194,2.0263828760386192e-38,sp500
2012,248,-0.5891864504921374,1.430069107387017e-24,sp500
2013,252,-0.1638216003400803,0.009179852985898174,sp500
2014,252,-0.4718752819999486,2.232668094880356e-15,sp500
2015,252,-0.3518223466481653,9.364258145556044e-09,sp500
2016,251,-0.3523077944256422,9.535212309437005e-09,sp500
2017,251,-0.3406768893340156,3.078536200158626e-08,sp500
2018,251,-0.38776435726958086,1.9734581232511159e-10,sp500
2019,252,-0.5233238890081637,4.038910568440021e-19,sp500
2020,253,-0.5993979396116523,4.5498231991099047e-26,sp500
2021,252,-0.10457984852917,0.09763172768619603,sp500
2022,250,0.16768535024191436,0.007886526751978182,sp500
2023,250,0.03633998223226431,0.5673931430525629,sp500
2024,250,0.07679695242556196,0.22629086860760272,sp500
2025,250,-0.06025815819828094,0.3426954600155342,sp500
2026,99,0.39856708767071203,4.3891768547582593e-05,sp500
2000,24,-0.2811375074965301,0.18325811891476854,kospi
2001,151,0.006299857350842315,0.9388053996171919,kospi
2002,90,-0.47428656624414667,2.3317745278678677e-06,kospi
2003,126,-0.3571423109284055,4.0398595588091265e-05,kospi
2004,236,0.04265960739141781,0.5142936566251674,kospi
2005,249,-0.09067872139120238,0.15368744229046313,kospi
2006,247,-0.007814671027910319,0.9027437431715389,kospi
2007,246,-0.2800984445270006,8.18054503640158e-06,kospi
2008,237,-0.04131765704002768,0.5267436914098471,kospi
2009,246,0.002275546052416157,0.9716740205293095,kospi
2010,251,-0.04221653751392046,0.5055426997254774,kospi
2011,248,-0.39794271449504515,7.726751661155772e-11,kospi
2012,248,-0.4605217541569525,2.0127152168313852e-14,kospi
2013,247,0.14392800017061372,0.023677412488784,kospi
2014,245,-0.12417313128690878,0.05223445019265192,kospi
2015,248,-0.1135112173197588,0.07437219437513458,kospi
2016,246,-0.21216528434463358,0.0008112096314197833,kospi
2017,243,0.012822075160383998,0.8423770057602515,kospi
2018,244,-0.3541960792026696,1.2716207618060003e-08,kospi
2019,246,-0.4155394078034738,1.0907402097080037e-11,kospi
2020,248,0.042847603010869734,0.5017974166150826,kospi
2021,248,-0.02498640075587453,0.6953837440071098,kospi
2022,246,0.1867240232306799,0.0032860101373712704,kospi
2023,245,0.296170869626196,2.3772303092039588e-06,kospi
2024,244,-0.018990548076133776,0.7678829711781264,kospi
2025,242,-0.057804450543612045,0.3706164498126588,kospi
2026,97,0.4954760369669415,2.4716874483388356e-07,kospi
